ID,DR_NO,DATE OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Premis Cd,Premis Desc,Weapon Used Cd,Crm Cd 1,LOCATION,Cross Street,LAT,LON
0,140113642,06/02/2014 12:00:00 AM,1,Central,142,330,BURGLARY FROM VEHICLE,123.0,PARKING UNDERGROUND/BUILDING,0,330.0,400 S HOPE ST,0,34.0522,-118.2538
1,142015449,03/01/2014 12:00:00 AM,20,Olympic,2015,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,100 N EDGEMONT ST,0,34.0728,-118.2975
2,140318666,08/25/2014 12:00:00 AM,3,Southwest,392,624,BATTERY - SIMPLE ASSAULT,501.0,SINGLE FAMILY DWELLING,400.0,624.0,4800 CRENSHAW BL,0,34.0,-118.3308
3,140207314,03/05/2014 12:00:00 AM,2,Rampart,219,354,THEFT OF IDENTITY,218.0,BEAUTY/BARBER SHOP,0,354.0,1300 W SUNSET BL,0,34.072,-118.2508
4,141304259,01/03/2014 12:00:00 AM,13,Newton,1307,624,BATTERY - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,624.0,700 S SAN PEDRO ST,0,34.0407,-118.2468
5,142010645,05/24/2014 12:00:00 AM,20,Olympic,2016,122,"RAPE, ATTEMPTED",502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,122.0,100 S NORMANDIE AV,0,34.0728,-118.3004
6,141405651,01/23/2014 12:00:00 AM,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",212.0,TRANSPORTATION FACILITY (AIRPORT),0,341.0,400 WORLD WY,0,33.9433,-118.4072
7,140109358,03/24/2014 12:00:00 AM,1,Central,176,350,"THEFT, PERSON",102.0,SIDEWALK,0,350.0,8TH ST,MAPLE AV,34.0405,-118.2508
8,141112267,06/20/2014 12:00:00 AM,11,Northeast,1189,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",102.0,SIDEWALK,0,740.0,SAN FERNANDO RD,FIGUEROA ST,34.0814,-118.2257
9,140804229,01/07/2014 12:00:00 AM,8,West LA,884,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,10700 W PICO BL,0,34.0419,-118.4247
10,140123293,10/12/2014 12:00:00 AM,1,Central,144,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",102.0,SIDEWALK,200.0,230.0,6TH ST,SPRING,34.046,-118.2509
11,140805856,02/19/2014 12:00:00 AM,8,West LA,832,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",123.0,PARKING UNDERGROUND/BUILDING,0,341.0,1100 BARRY AV,0,34.0523,-118.4609
12,141606486,03/12/2014 12:00:00 AM,16,Foothill,1637,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),402.0,MARKET,0,442.0,7700 FOOTHILL BL,0,34.2593,-118.3031
13,141418738,05/26/2014 12:00:00 AM,14,Pacific,1496,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",203.0,OTHER BUSINESS,0,668.0,9700 AIRPORT BL,0,33.9482,-118.386
14,142107624,03/22/2014 12:00:00 AM,21,Topanga,2128,220,ATTEMPTED ROBBERY,108.0,PARKING LOT,400.0,220.0,20100 SATICOY ST,0,34.2084,-118.571
15,141312410,05/31/2014 12:00:00 AM,13,Newton,1307,310,BURGLARY,203.0,OTHER BUSINESS,0,310.0,700 STANFORD AV,0,34.039,-118.2444
16,141304481,01/08/2014 12:00:00 AM,13,Newton,1352,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),122.0,"VEHICLE, PASSENGER/TRUCK",0,745.0,400 E 47TH ST,0,34.0007,-118.2696
17,140114698,06/17/2014 12:00:00 AM,1,Central,185,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,123.0,PARKING UNDERGROUND/BUILDING,511.0,930.0,CHICK HEARN,FIGUEROA ST,34.0437,-118.2652
18,140501265,11/02/2014 12:00:00 AM,5,Harbor,515,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,1700 WILMINGTON BL,0,33.7969,-118.2752
19,140710706,06/11/2014 12:00:00 AM,7,Wilshire,762,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,1700 S CRESCENT HEIGHTS BL,0,34.0467,-118.3738
20,141821495,12/11/2014 12:00:00 AM,18,Southeast,1842,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,200 W 112TH ST,0,33.933,-118.2761
21,141311273,05/14/2014 12:00:00 AM,13,Newton,1333,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,1000 E 33RD ST,0,34.0138,-118.2583
22,140905875,02/06/2014 12:00:00 AM,9,Van Nuys,904,310,BURGLARY,407.0,HARDWARE/BUILDING SUPPLY,0,310.0,14500 KESWICK ST,0,34.2103,-118.4488
23,140213396,05/10/2014 12:00:00 AM,2,Rampart,281,956,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,956.0,1200 S LAKE ST,0,34.0493,-118.2828
24,141218134,08/07/2014 12:00:00 AM,12,77th Street,1258,624,BATTERY - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,624.0,7200 S SAN PEDRO ST,0,33.9747,-118.2695
25,140316928,08/01/2014 12:00:00 AM,3,Southwest,311,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),203.0,OTHER BUSINESS,0,745.0,5300 W ADAMS BL,0,34.0325,-118.3587
26,140911831,06/15/2014 12:00:00 AM,9,Van Nuys,933,251,SHOTS FIRED AT INHABITED DWELLING,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,251.0,14700 DELANO ST,0,34.1827,-118.4531
27,141108411,04/03/2014 12:00:00 AM,11,Northeast,1147,813,CHILD ANNOYING (17YRS & UNDER),101.0,STREET,0,813.0,SCARBORO,WINMAR,34.104,-118.2257
28,140814766,08/28/2014 12:00:00 AM,8,West LA,857,649,DOCUMENT FORGERY / STOLEN FELONY,203.0,OTHER BUSINESS,0,649.0,9500 W PICO BL,0,34.0553,-118.3954
29,141612226,08/11/2014 12:00:00 AM,16,Foothill,1612,888,TRESPASSING,729.0,SPECIALTY SCHOOL/OTHER,0,888.0,11200 HERRICK AV,0,34.2735,-118.4173
30,141813219,06/30/2014 12:00:00 AM,18,Southeast,1844,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,112TH,AVALON,33.933,-118.2652
31,141323122,12/03/2014 12:00:00 AM,13,Newton,1321,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,2300 S HILL ST,0,34.0285,-118.269
32,141512541,06/14/2014 12:00:00 AM,15,N Hollywood,1506,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,745.0,7300 VINELAND AV,0,34.2034,-118.3703
33,141614224,07/16/2014 12:00:00 AM,16,Foothill,1638,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,10600 COMMERCE AV,0,34.2612,-118.2885
34,150911655,11/01/2014 12:00:00 AM,9,Van Nuys,963,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,15100 MAGNOLIA BL,0,34.1649,-118.4618
35,141508561,03/31/2014 12:00:00 AM,15,N Hollywood,1515,210,ROBBERY,203.0,OTHER BUSINESS,511.0,210.0,11700 VOSE ST,0,34.1985,-118.3878
36,141006337,02/26/2014 12:00:00 AM,10,West Valley,1007,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,8000 ALDEA AV,0,34.2157,-118.5088
37,141910676,04/20/2014 12:00:00 AM,19,Mission,1913,510,VEHICLE - STOLEN,120.0,STORAGE SHED,0,510.0,15300 COBALT ST,0,34.3112,-118.4653
38,140105236,01/19/2014 12:00:00 AM,1,Central,154,624,BATTERY - SIMPLE ASSAULT,102.0,SIDEWALK,400.0,624.0,5TH ST,LOS ANGELES,34.0461,-118.2476
39,141305762,02/01/2014 12:00:00 AM,13,Newton,1333,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,31ST ST,SAN PEDRO,34.0171,-118.2618
40,140127854,12/25/2014 12:00:00 AM,1,Central,166,626,INTIMATE PARTNER - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,626.0,600 S SAN PEDRO ST,0,34.0423,-118.2452
41,141119553,11/11/2014 12:00:00 AM,11,Northeast,1147,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,3200 ISABEL DR,0,34.1034,-118.2316
42,140814295,10/02/2014 12:00:00 AM,8,West LA,804,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,16500 PARK LANE CI,0,34.1307,-118.4934
43,140813372,09/10/2014 12:00:00 AM,8,West LA,889,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,930.0,2000 S SHENANDOAH ST,0,34.0418,-118.3848
44,142014318,08/03/2014 12:00:00 AM,20,Olympic,2069,354,THEFT OF IDENTITY,605.0,AUTOMATED TELLER MACHINE (ATM),0,354.0,1200 S VERMONT AV,0,34.0491,-118.2916
45,140211108,05/19/2014 12:00:00 AM,2,Rampart,218,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",122.0,"VEHICLE, PASSENGER/TRUCK",0,740.0,1000 W KENSINGTON RD,0,34.0737,-118.2571
46,140109679,03/28/2014 12:00:00 AM,1,Central,143,440,THEFT PLAIN - PETTY ($950 & UNDER),406.0,OTHER STORE,0,440.0,400 S SPRING ST,0,34.0488,-118.2483
47,141921877,07/25/2014 12:00:00 AM,19,Mission,1954,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",501.0,SINGLE FAMILY DWELLING,0,810.0,DEVONSHIRE BL,SEPULVEDA BL,34.2573,-118.4674
48,150715350,07/27/2014 12:00:00 AM,7,Wilshire,776,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,726.0,POLICE FACILITY,0,845.0,4800 W VENICE BL,0,34.0466,-118.3414
49,140600501,01/01/2014 12:00:00 AM,6,Hollywood,666,350,"THEFT, PERSON",735.0,NIGHT CLUB (OPEN EVENINGS ONLY),0,350.0,1400 N IVAR AV,0,34.0962,-118.3288
50,140915360,08/29/2014 12:00:00 AM,9,Van Nuys,909,626,INTIMATE PARTNER - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,626.0,7300 WOODMAN AV,0,34.2031,-118.4313
51,140215199,08/01/2014 12:00:00 AM,2,Rampart,246,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",503.0,HOTEL,207.0,230.0,1900 W 3RD ST,0,34.0619,-118.2702
52,141413741,01/16/2014 12:00:00 AM,14,Pacific,1441,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",203.0,OTHER BUSINESS,0,668.0,2300 ABBOT KINNEY BL,0,33.9879,-118.4596
53,141205395,01/24/2014 12:00:00 AM,12,77th Street,1204,626,INTIMATE PARTNER - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,626.0,4500 S NORMANDIE AV,0,34.0027,-118.3002
54,141716488,09/03/2014 12:00:00 AM,17,Devonshire,1771,649,DOCUMENT FORGERY / STOLEN FELONY,203.0,OTHER BUSINESS,0,649.0,20200 PLUMMER ST,0,34.2428,-118.5733
55,142018156,10/19/2014 12:00:00 AM,20,Olympic,2081,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",101.0,STREET,102.0,230.0,1800 S GRAMERCY PL,0,34.0418,-118.313
56,141017753,11/21/2014 12:00:00 AM,10,West Valley,1083,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,4600 ARRIBA DR,0,34.1545,-118.542
57,141206939,02/18/2014 12:00:00 AM,12,77th Street,1268,440,THEFT PLAIN - PETTY ($950 & UNDER),501.0,SINGLE FAMILY DWELLING,0,440.0,8200 WALL ST,0,33.9654,-118.2717
58,140406657,03/08/2014 12:00:00 AM,4,Hollenbeck,427,649,DOCUMENT FORGERY / STOLEN FELONY,101.0,STREET,0,649.0,THELMA,HUNTINGTON,34.0856,-118.1791
59,141227294,12/22/2014 12:00:00 AM,12,77th Street,1209,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,4400 S FLOWER ST,0,34.0037,-118.2816
60,142116951,10/10/2014 12:00:00 AM,21,Topanga,2133,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,7400 ROYER AV,0,34.2042,-118.6278
61,141604753,01/22/2014 12:00:00 AM,16,Foothill,1658,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,10000 TUJUNGA CANYON BL,0,34.2497,-118.2804
62,140607387,03/02/2014 12:00:00 AM,6,Hollywood,637,350,"THEFT, PERSON",101.0,STREET,0,350.0,HOLLYWOOD BL,ARGYLE AV,34.1016,-118.3252
63,142105066,01/06/2014 12:00:00 AM,21,Topanga,2118,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,8100 WINNETKA AV,0,34.2168,-118.571
64,140910258,05/12/2014 12:00:00 AM,9,Van Nuys,974,210,ROBBERY,102.0,SIDEWALK,400.0,210.0,KESTER,MOORPARK,34.1576,-118.4574
65,140120977,09/07/2014 12:00:00 AM,1,Central,185,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,OLYMPIC BL,SANTEE ST,34.0386,-118.2544
66,140324763,11/29/2014 12:00:00 AM,3,Southwest,392,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,501.0,SINGLE FAMILY DWELLING,0,930.0,3200 W 46TH ST,0,34.0019,-118.3281
67,140318898,08/29/2014 12:00:00 AM,3,Southwest,356,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",501.0,SINGLE FAMILY DWELLING,0,341.0,1500 W 35TH ST,0,34.0246,-118.3031
68,140222403,12/17/2014 12:00:00 AM,2,Rampart,245,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",122.0,"VEHICLE, PASSENGER/TRUCK",0,740.0,OCEAN VIEW ST,GRAND VIEW AV,34.0629,-118.2754
69,140605768,02/02/2014 12:00:00 AM,6,Hollywood,665,440,THEFT PLAIN - PETTY ($950 & UNDER),735.0,NIGHT CLUB (OPEN EVENINGS ONLY),0,440.0,6600 SANTA MONICA BL,0,34.0907,-118.3332
70,140325414,12/11/2014 12:00:00 AM,3,Southwest,391,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,4000 DON TOMASO DR,0,34.0061,-118.3443
71,140622744,11/16/2014 12:00:00 AM,6,Hollywood,665,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,LEXINGTON,CITRUS,34.0926,-118.3395
72,140127561,12/18/2014 12:00:00 AM,1,Central,166,624,BATTERY - SIMPLE ASSAULT,101.0,STREET,400.0,624.0,6TH,SAN PEDRO,34.0423,-118.2452
73,140300812,06/10/2014 12:00:00 AM,3,Southwest,396,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",101.0,STREET,500.0,230.0,S VERMONT AV,W VERNON AV,34.0037,-118.2915
74,150204324,12/20/2014 12:00:00 AM,2,Rampart,292,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,301.0,GAS STATION,511.0,930.0,1900 S HOOVER ST,0,34.0399,-118.2841
75,141507310,03/05/2014 12:00:00 AM,15,N Hollywood,1591,661,UNAUTHORIZED COMPUTER ACCESS,721.0,HIGH SCHOOL,0,661.0,3700 COLDWATER CANYON AV,0,34.1392,-118.4135
76,140217189,09/09/2014 12:00:00 AM,2,Rampart,231,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,200 S RENO ST,0,34.0699,-118.2823
77,140518610,12/13/2014 12:00:00 AM,5,Harbor,511,354,THEFT OF IDENTITY,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,354.0,1600 W PACIFIC COAST HY,0,33.7895,-118.3043
78,140608530,03/21/2014 12:00:00 AM,6,Hollywood,657,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,5500 BARTON AV,0,34.0876,-118.3114
79,140410529,06/18/2014 12:00:00 AM,4,Hollenbeck,407,624,BATTERY - SIMPLE ASSAULT,102.0,SIDEWALK,400.0,624.0,3600 MONTEREY RD,0,34.0881,-118.1875
80,140122549,10/01/2014 12:00:00 AM,1,Central,166,624,BATTERY - SIMPLE ASSAULT,504.0,OTHER RESIDENCE,400.0,624.0,600 S SAN PEDRO ST,0,34.0423,-118.2452
81,140127343,12/16/2014 12:00:00 AM,1,Central,161,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),404.0,DEPARTMENT STORE,0,442.0,700 S FIGUEROA ST,0,34.0494,-118.2599
82,140609925,04/15/2014 12:00:00 AM,6,Hollywood,646,624,BATTERY - SIMPLE ASSAULT,108.0,PARKING LOT,400.0,624.0,SUNSET,MC CADDEN,34.098,-118.3376
83,150209711,01/01/2014 12:00:00 AM,2,Rampart,231,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,100 S VENDOME ST,0,34.0719,-118.2822
84,141111074,05/28/2014 12:00:00 AM,11,Northeast,1137,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",501.0,SINGLE FAMILY DWELLING,0,740.0,400 N AVENUE 54,0,34.1106,-118.199
85,140606806,02/20/2014 12:00:00 AM,6,Hollywood,657,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,5300 LEMON GROVE AV,0,34.0867,-118.3091
86,141307548,03/06/2014 12:00:00 AM,13,Newton,1375,624,BATTERY - SIMPLE ASSAULT,102.0,SIDEWALK,400.0,624.0,55TH ST,HOOPER AV,33.993,-118.2521
87,140704571,01/15/2014 12:00:00 AM,7,Wilshire,701,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,800 N LA JOLLA AV,0,34.0855,-118.368
88,140319973,09/19/2014 12:00:00 AM,3,Southwest,313,624,BATTERY - SIMPLE ASSAULT,102.0,SIDEWALK,500.0,624.0,MONTCLAIR,ADAMS,34.0326,-118.3328
89,171919018,08/20/2014 12:00:00 AM,19,Mission,1901,310,BURGLARY,221.0,PUBLIC STORAGE,0,310.0,16000 FOOTHILL BL,0,34.3261,-118.4889
90,140211168,05/19/2014 12:00:00 AM,2,Rampart,215,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),122.0,"VEHICLE, PASSENGER/TRUCK",0,420.0,300 N VENDOME ST,0,34.0749,-118.2802
91,141005541,02/07/2014 12:00:00 AM,10,West Valley,1006,510,VEHICLE - STOLEN,104.0,DRIVEWAY,0,510.0,17400 BURTON ST,0,34.2202,-118.5123
92,141806176,02/13/2014 12:00:00 AM,18,Southeast,1849,210,ROBBERY,501.0,SINGLE FAMILY DWELLING,102.0,210.0,10900 LOU DILLON AV,0,33.9356,-118.2349
93,140306909,02/21/2014 12:00:00 AM,3,Southwest,395,210,ROBBERY,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",500.0,210.0,4200 S WESTERN AV,0,34.0073,-118.3089
94,140715779,10/31/2014 12:00:00 AM,7,Wilshire,763,624,BATTERY - SIMPLE ASSAULT,101.0,STREET,400.0,624.0,PICO BL,STANLEY AV,34.0503,-118.3612
95,141819067,10/23/2014 12:00:00 AM,18,Southeast,1824,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,1100 E 103RD ST,0,33.9433,-118.2565
96,141015364,09/23/2014 12:00:00 AM,10,West Valley,1015,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,7200 DARBY AV,0,34.2066,-118.5328
97,140916200,08/26/2014 12:00:00 AM,9,Van Nuys,985,440,THEFT PLAIN - PETTY ($950 & UNDER),502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,440.0,14100 MOORPARK ST,0,34.1505,-118.44
98,141817514,09/21/2014 12:00:00 AM,18,Southeast,1821,210,ROBBERY,102.0,SIDEWALK,109.0,210.0,99TH,VERMONT,33.9463,-118.2916
99,151017719,10/01/2014 12:00:00 AM,10,West Valley,1045,946,OTHER MISCELLANEOUS CRIME,501.0,SINGLE FAMILY DWELLING,0,946.0,18000 BURBANK BL,0,34.1722,-118.5244
100,141806249,02/16/2014 12:00:00 AM,18,Southeast,1821,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,95TH ST,VERMONT,33.9501,-118.2916
101,140518028,11/30/2014 12:00:00 AM,5,Harbor,564,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,930.0,300 W 1ST ST,0,33.7433,-118.2835
102,140404882,01/22/2014 12:00:00 AM,4,Hollenbeck,402,440,THEFT PLAIN - PETTY ($950 & UNDER),101.0,STREET,0,440.0,HOMER ST,AVENUE 43,34.0926,-118.2051
103,140118639,08/09/2014 12:00:00 AM,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",102.0,SIDEWALK,500.0,230.0,5TH,SAN PEDRO,34.0435,-118.2427
104,141119455,11/09/2014 12:00:00 AM,11,Northeast,1173,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),101.0,STREET,0,331.0,2300 LAKE SHORE AV,0,34.0944,-118.2522
105,141711125,06/12/2014 12:00:00 AM,17,Devonshire,1791,354,THEFT OF IDENTITY,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,354.0,8500 DE SOTO AV,0,34.2246,-118.5885
106,140906510,02/20/2014 12:00:00 AM,9,Van Nuys,964,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),404.0,DEPARTMENT STORE,0,442.0,14000 RIVERSIDE DR,0,34.1576,-118.438
107,140118437,08/07/2014 12:00:00 AM,1,Central,152,440,THEFT PLAIN - PETTY ($950 & UNDER),738.0,LIBRARY,0,440.0,5TH ST,FLOWER,34.0516,-118.2561
108,140325391,12/11/2014 12:00:00 AM,3,Southwest,337,310,BURGLARY,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,310.0,1600 W JEFFERSON BL,0,34.0255,-118.3027
109,141611499,07/17/2014 12:00:00 AM,16,Foothill,1645,440,THEFT PLAIN - PETTY ($950 & UNDER),501.0,SINGLE FAMILY DWELLING,0,440.0,10900 GLENOAKS BL,0,34.2677,-118.4051
110,141405577,01/21/2014 12:00:00 AM,14,Pacific,1432,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),501.0,SINGLE FAMILY DWELLING,0,745.0,1600 CRESCENT PL,0,33.9912,-118.4631
111,140306085,01/31/2014 12:00:00 AM,3,Southwest,363,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",122.0,"VEHICLE, PASSENGER/TRUCK",0,740.0,4100 CRENSHAW BL,0,34.0102,-118.3351
112,142108472,04/11/2014 12:00:00 AM,21,Topanga,2156,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),123.0,PARKING UNDERGROUND/BUILDING,0,331.0,6600 TOPANGA CANYON BL,0,34.1905,-118.6059
113,141909289,04/01/2014 12:00:00 AM,19,Mission,1991,624,BATTERY - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,624.0,8200 LANGDON AV,0,34.2197,-118.4693
114,142106182,01/27/2014 12:00:00 AM,21,Topanga,2128,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,20200 KESWICK ST,0,34.2096,-118.5732
115,140816283,11/08/2014 12:00:00 AM,8,West LA,895,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,10100 ROSSBURY PL,0,34.0346,-118.4042
116,150304385,12/23/2014 12:00:00 AM,3,Southwest,363,649,DOCUMENT FORGERY / STOLEN FELONY,501.0,SINGLE FAMILY DWELLING,0,649.0,3800 BUCKINGHAM RD,0,34.0173,-118.3403
117,141606806,03/18/2014 12:00:00 AM,16,Foothill,1633,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,12000 OSBORNE ST,0,34.2736,-118.3938
118,141222345,10/09/2014 12:00:00 AM,12,77th Street,1256,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,800 W 74TH ST,0,33.9727,-118.2871
119,142109787,05/09/2014 12:00:00 AM,21,Topanga,2103,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,0,310.0,8300 SALE AV,0,34.2195,-118.6191
120,140710737,06/25/2014 12:00:00 AM,7,Wilshire,732,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,6400 DREXEL AV,0,34.0689,-118.3674
121,140711900,07/26/2014 12:00:00 AM,7,Wilshire,782,310,BURGLARY,501.0,SINGLE FAMILY DWELLING,400.0,310.0,6000 DAUPHIN AV,0,34.0345,-118.3742
122,141118455,07/08/2014 12:00:00 AM,11,Northeast,1132,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",108.0,PARKING LOT,0,740.0,3000 WAVERLY DR,0,34.1106,-118.2678
123,141820400,11/18/2014 12:00:00 AM,18,Southeast,1801,330,BURGLARY FROM VEHICLE,104.0,DRIVEWAY,0,330.0,8600 MENLO AV,0,33.9601,-118.2904
124,140312583,03/26/2014 12:00:00 AM,3,Southwest,392,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",501.0,SINGLE FAMILY DWELLING,306.0,740.0,4900 3RD AV,0,33.9988,-118.3203
125,171615955,09/01/2014 12:00:00 AM,16,Foothill,1678,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,8800 BLUFFDALE DR,0,34.2286,-118.3607
126,141808990,04/11/2014 12:00:00 AM,18,Southeast,1836,310,BURGLARY,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,310.0,10500 ANTWERP ST,0,33.9404,-118.2486
127,141713430,08/01/2014 12:00:00 AM,17,Devonshire,1794,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,930.0,18300 MALDEN ST,0,34.2256,-118.5317
128,140512411,07/22/2014 12:00:00 AM,5,Harbor,585,440,THEFT PLAIN - PETTY ($950 & UNDER),202.0,LIQUOR STORE,0,440.0,1800 S PACIFIC AV,0,33.7279,-118.288
129,140204120,01/02/2014 12:00:00 AM,2,Rampart,299,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),101.0,STREET,0,420.0,1400 VALENCIA ST,0,34.0421,-118.2759
130,141607257,04/01/2014 12:00:00 AM,16,Foothill,1695,624,BATTERY - SIMPLE ASSAULT,101.0,STREET,400.0,624.0,VINELAND,SATICOY,34.2085,-118.3703
131,151018745,12/14/2014 12:00:00 AM,10,West Valley,1031,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),108.0,PARKING LOT,0,420.0,6500 SHIRLEY AV,0,34.1884,-118.5571
132,141221239,09/25/2014 12:00:00 AM,12,77th Street,1215,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",122.0,"VEHICLE, PASSENGER/TRUCK",0,740.0,1300 W 57TH ST,0,33.991,-118.298
