ID,DR_NO,DATE OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Crm Cd Desc,Premis Cd,Premis Desc,Weapon Used Cd,Crm Cd 1,LOCATION,Cross Street,LAT,LON
637747,170624701,12/03/2017 12:00:00 AM,6,Hollywood,676,624,BATTERY - SIMPLE ASSAULT,104.0,DRIVEWAY,400.0,624.0,5700 CAMERFORD AV,0,34.0844,-118.3222
637748,171820543,06/26/2017 12:00:00 AM,18,Southeast,1801,946,OTHER MISCELLANEOUS CRIME,726.0,POLICE FACILITY,0,946.0,92ND ST,HOOVER ST,33.9528,-118.2869
637749,171613645,08/25/2017 12:00:00 AM,16,Foothill,1654,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,12300 OSBORNE PL,0,34.2604,-118.401
637750,171616224,10/30/2017 12:00:00 AM,16,Foothill,1636,932,PEEPING TOM,501.0,SINGLE FAMILY DWELLING,0,932.0,10600 OLIVEGROVE AV,0,34.2602,-118.3281
637751,172010642,05/10/2017 12:00:00 AM,20,Olympic,2069,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",122.0,"VEHICLE, PASSENGER/TRUCK",0,740.0,1000 S WESTMORELAND AV,0,34.0524,-118.2891
637752,170417275,10/24/2017 12:00:00 AM,4,Hollenbeck,417,624,BATTERY - SIMPLE ASSAULT,102.0,SIDEWALK,400.0,624.0,3700 ROLLE ST,0,34.0835,-118.2004
637753,170205058,01/22/2017 12:00:00 AM,2,Rampart,269,623,BATTERY POLICE (SIMPLE),102.0,SIDEWALK,400.0,623.0,WITMER,7TH,34.0524,-118.2678
637754,170411692,06/21/2017 12:00:00 AM,4,Hollenbeck,471,901,VIOLATION OF RESTRAINING ORDER,501.0,SINGLE FAMILY DWELLING,515.0,901.0,2200 WHITTIER BL,0,34.0381,-118.2262
637755,170920064,11/07/2017 12:00:00 AM,9,Van Nuys,911,440,THEFT PLAIN - PETTY ($950 & UNDER),515.0,APARTMENT/CONDO COMMON LAUNDRY ROOM,0,440.0,6800 SEPULVEDA BL,0,34.1938,-118.4702
637756,171216447,05/03/2017 12:00:00 AM,12,77th Street,1239,440,THEFT PLAIN - PETTY ($950 & UNDER),720.0,JUNIOR HIGH SCHOOL,0,440.0,5900 S VERMONT AV,0,33.9875,-118.2915
637757,171212635,04/28/2017 12:00:00 AM,12,77th Street,1233,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,1700 W 60TH ST,0,33.9859,-118.3068
637758,171229481,12/06/2017 12:00:00 AM,12,77th Street,1257,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",101.0,STREET,0,740.0,7700 S BROADWAY,0,33.9693,-118.285
637759,171227409,11/15/2017 12:00:00 AM,12,77th Street,1207,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),101.0,STREET,0,420.0,800 W 50TH PL,0,33.997,-118.2871
637760,181108798,12/01/2017 12:00:00 AM,11,Northeast,1116,813,CHILD ANNOYING (17YRS & UNDER),721.0,HIGH SCHOOL,0,813.0,800 N AVENUE 54,0,34.1152,-118.1991
637761,172120897,12/09/2017 12:00:00 AM,21,Topanga,2185,888,TRESPASSING,501.0,SINGLE FAMILY DWELLING,0,888.0,22000 GALVEZ ST,0,34.1635,-118.6058
637762,170506335,02/20/2017 12:00:00 AM,5,Harbor,501,624,BATTERY - SIMPLE ASSAULT,203.0,OTHER BUSINESS,400.0,624.0,18400 S WESTERN AV,0,33.864,-118.3091
637763,171714144,07/11/2017 12:00:00 AM,17,Devonshire,1797,330,BURGLARY FROM VEHICLE,101.0,STREET,0,330.0,8900 RUBIO AV,0,34.2321,-118.4957
637764,170608910,03/23/2017 12:00:00 AM,6,Hollywood,668,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,SUNSET BL,VAN NESS AV,34.0981,-118.3158
637765,171406416,02/09/2017 12:00:00 AM,14,Pacific,1468,624,BATTERY - SIMPLE ASSAULT,101.0,STREET,400.0,624.0,11700 ALLIN ST,0,33.9929,-118.4091
637766,171706005,02/07/2017 12:00:00 AM,17,Devonshire,1764,330,BURGLARY FROM VEHICLE,707.0,GARAGE/CARPORT,0,330.0,9400 CORBIN AV,0,34.241,-118.5623
637767,170323451,10/14/2017 12:00:00 AM,3,Southwest,397,510,VEHICLE - STOLEN,101.0,STREET,0,510.0,WALTON,VERNON,34.0037,-118.2948
637768,170920264,11/12/2017 12:00:00 AM,9,Van Nuys,914,624,BATTERY - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,624.0,6900 KESTER AV,0,34.196,-118.4575
637769,170307220,02/19/2017 12:00:00 AM,3,Southwest,328,933,PROWLER,722.0,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,0,933.0,3000 ROYAL ST,0,34.0263,-118.2808
637770,171219893,08/05/2017 12:00:00 AM,12,77th Street,1218,901,VIOLATION OF RESTRAINING ORDER,501.0,SINGLE FAMILY DWELLING,0,901.0,600 W 52ND PL,0,33.995,-118.2842
637771,170707228,03/15/2017 12:00:00 AM,7,Wilshire,723,440,THEFT PLAIN - PETTY ($950 & UNDER),101.0,STREET,0,440.0,8200 BLACKBURN AV,0,34.0715,-118.3678
637772,171512872,06/02/2017 12:00:00 AM,15,N Hollywood,1543,330,BURGLARY FROM VEHICLE,108.0,PARKING LOT,0,330.0,5300 LAUREL CANYON BL,0,34.1685,-118.4008
637773,171113684,07/16/2017 12:00:00 AM,11,Northeast,1102,753,DISCHARGE FIREARMS/SHOTS FIRED,102.0,SIDEWALK,0,753.0,4100 BAYWOOD ST,0,34.1353,-118.269
637774,172022797,12/28/2017 12:00:00 AM,20,Olympic,2011,310,BURGLARY,221.0,PUBLIC STORAGE,0,310.0,100 S WESTERN AV,0,34.0731,-118.3091
637775,171918018,09/08/2017 12:00:00 AM,19,Mission,1919,354,THEFT OF IDENTITY,203.0,OTHER BUSINESS,0,354.0,12700 ARROYO ST,0,34.2962,-118.4088
637776,170417632,10/25/2017 12:00:00 AM,4,Hollenbeck,468,354,THEFT OF IDENTITY,501.0,SINGLE FAMILY DWELLING,0,354.0,3200 E 2ND ST,0,34.0373,-118.1997
637777,171208908,03/11/2017 12:00:00 AM,12,77th Street,1267,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",102.0,SIDEWALK,102.0,230.0,HOOVER,MANCHESTER,33.9601,-118.287
637778,170209103,01/07/2017 12:00:00 AM,2,Rampart,211,310,BURGLARY,120.0,STORAGE SHED,0,310.0,600 HELIOTROPE DR,0,34.0812,-118.2953
637779,170800828,11/05/2017 12:00:00 AM,8,West LA,851,121,"RAPE, FORCIBLE",502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,121.0,1600 S BUNDY DR,0,34.0389,-118.4613
637780,170118427,06/29/2017 12:00:00 AM,1,Central,111,626,INTIMATE PARTNER - SIMPLE ASSAULT,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,626.0,900 N HILL ST,0,34.0644,-118.2387
637781,170518011,10/29/2017 12:00:00 AM,5,Harbor,517,624,BATTERY - SIMPLE ASSAULT,101.0,STREET,400.0,624.0,200 PACIFIC COAST HY,0,33.7913,-118.2616
637782,170508921,04/10/2017 12:00:00 AM,5,Harbor,515,440,THEFT PLAIN - PETTY ($950 & UNDER),501.0,SINGLE FAMILY DWELLING,0,440.0,1500 MCDONALD AV,0,33.7929,-118.272
