ID,APN,R_Date,P_Type,P_Zip
149,2024019010,4/18/14,Single Family,91307
150,7442017033,2/3/14,Single Family,90731
151,5118013022,4/10/14,Multi-Family,90011
152,5549011028,1/15/14,Single Family,90068
153,2502004058,9/19/14,Single Family,91342
154,2157009141,5/9/14,Single Family,91356
155,4221022054,2/26/14,Single Family,92627
156,4007026008,9/18/14,Single Family,90043
157,2723019136,12/22/14,Single Family,91311
158,6048019029,1/30/14,Multi-Family,90002
159,5211014004,2/3/14,Multi-Family,90031
160,2284019024,11/3/14,Single Family,91436
161,2042001026,1/28/14,Single Family,91367
162,2123022035,10/8/14,Single Family,91335
163,5109010017,11/25/14,Multi-Family,90011
164,5424018009,12/17/14,Single Family,90026
165,6073028004,12/9/14,Single Family,90061
166,2627024016,8/20/14,Single Family,91331
167,5567015034,2/27/14,Single Family,90046
168,7413012974,12/2/14,Single Family,90710
169,2782020005,8/20/14,Single Family,91306
170,5468016028,2/9/14,Single Family,90042
171,2621001005,9/3/14,Single Family,91331
172,2156021054,3/18/14,Single Family,91356
173,6119026053,11/10/14,Single Family,90247
174,6074002021,7/7/14,Single Family,90003
175,2660010052,8/4/14,Single Family,91345
176,6014029012,1/31/14,Single Family,90044
177,2027050005,5/6/14,Single Family,91307
178,6053008009,1/30/14,Single Family,90003
179,2731013017,2/4/14,Single Family,91326
180,2116014011,1/20/14,Single Family,91335
181,2047005009,12/22/14,Single Family,91367
182,2707010023,11/25/14,Single Family,91311
183,2692010048,5/20/14,Single Family,91325
184,2171020031,5/8/14,Single Family,91364
185,2250002120,12/24/14,Single Family,91403
186,2162014096,10/31/14,Single Family,99999
187,7444005010,6/9/14,Single Family,90731
188,5019005006,9/5/14,Multi-Family,90037
189,2114020033,5/8/14,Single Family,91306
190,2651012146,7/11/14,Single Family,91402
191,4431036016,7/15/14,Single Family,90272
192,2582005060,8/1/14,Single Family,91342
193,5036023006,2/18/14,Single Family,90062
194,5513022024,5/14/14,Multi-Family,90036
195,2644026137,11/24/14,Single Family,91402
196,5550026037,11/22/14,Single Family,90046
197,5143019221,4/9/14,Single Family,90017
198,5204007002,1/23/14,Single Family,90031
199,2633013017,11/11/14,Single Family,91352
200,4412008027,10/27/14,Single Family,90272
201,5113024018,9/30/14,Single Family,90011
202,5307002017,11/25/14,Single Family,90032
203,6006005009,6/10/14,Multi-Family,90003
204,2042003026,1/15/14,Single Family,91367
205,2615028010,10/27/14,Single Family,91345
206,2163007014,10/9/14,Single Family,91356
207,5301013024,12/10/14,Single Family,90042
208,2116006071,10/27/14,Single Family,91335
209,5072033016,1/14/14,Multi-Family,90019
210,6075019002,2/12/14,Single Family,90044
211,6004011004,12/8/14,Single Family,90044
212,5016007018,11/7/14,Single Family,90062
213,5050026052,10/29/14,Single Family,90016
214,5101033007,11/17/14,Single Family,90037
215,2779045022,10/17/14,Single Family,91304
216,6057004028,1/13/14,Single Family,90047
217,2531012035,11/24/14,Single Family,91342
218,5002001009,2/18/14,Single Family,90037
219,2010009021,5/16/14,Single Family,91304
220,5015023024,1/29/14,Single Family,90062
221,6051011034,1/14/14,Single Family,90002
222,4004013012,1/15/14,Single Family,90043
223,2174010011,10/27/14,Single Family,91364
224,2304008035,5/8/14,Single Family,91605
225,5046032031,3/31/14,Single Family,90016
226,5690028016,1/30/14,Single Family,90041
227,2222020011,10/27/14,Single Family,91406
228,4363007165,11/26/14,Single Family,90024
229,6031014013,8/25/14,Multi-Family,90003
230,7452016002,12/18/14,Single Family,90732
231,2356031019,12/9/14,Single Family,91607
232,2531018030,5/27/14,Single Family,91342
233,2623006021,11/21/14,Single Family,91331
234,4234019019,1/17/14,Single Family,90066
235,6072001007,12/11/14,Single Family,90059
236,5057002015,8/28/14,Single Family,90016
237,5480022034,7/28/14,Multi-Family,90041
238,2283014037,12/15/14,Single Family,91436
239,2640004013,2/27/14,Single Family,91331
240,6065013028,1/2/14,Single Family,90059
241,6051013034,11/25/14,Single Family,90002
242,2224027015,10/1/14,Single Family,91406
243,2321025029,1/22/14,Single Family,91605
244,2275030004,12/12/14,Single Family,91423
245,4295012131,10/21/14,Single Family,90292
246,5569027020,4/9/14,Single Family,90046
247,5101008009,1/14/14,Single Family,90011
248,2040009005,1/9/14,Single Family,91367
249,6068010037,1/14/14,Single Family,90059
250,2038022026,6/9/14,Single Family,91307
251,5116003030,1/15/14,Multi-Family,90011
252,6057009070,5/12/14,Single Family,90047
253,2281005003,6/9/14,Single Family,91403
254,6119010023,6/17/14,Single Family,90247
255,5081007017,1/17/14,Multi-Family,90019
256,6059004016,4/28/14,Multi-Family,90047
257,6036001023,1/31/14,Multi-Family,90047
258,2337030002,11/3/14,Single Family,91601
259,2176030008,8/20/14,Single Family,91356
260,5015004009,3/26/14,Multi-Family,90062
261,6030029018,3/25/14,Single Family,90003
262,5101030020,1/15/14,Single Family,90037
263,5121024011,3/12/14,Single Family,90011
264,5467018009,5/22/14,Single Family,90065
265,5064027011,12/5/14,Single Family,90016
266,2642024015,12/22/14,Single Family,91331
267,5516027015,2/21/14,Single Family,90004
268,6057003012,1/10/14,Single Family,90047
269,2656022116,5/8/14,Single Family,91343
270,5177014015,8/27/14,Multi-Family,90033
271,2820009014,1/3/14,Single Family,91326
272,2159024004,8/12/14,Single Family,91316
273,5475003004,1/31/14,Single Family,90065
274,2781031015,12/30/14,Single Family,91306
275,6034012024,1/9/14,Multi-Family,90047
276,5029026007,2/21/14,Single Family,90008
277,5062013025,10/29/14,Single Family,90016
278,2656013025,5/6/14,Single Family,91343
279,2246015018,5/30/14,Single Family,91401
280,2101035002,7/25/14,Single Family,91335
281,5051037004,9/17/14,Multi-Family,90018
282,6052021002,3/28/14,Multi-Family,90003
283,5484034018,5/9/14,Single Family,90042
