,APN,Registered Date,Property Type,Property Zip
136,2688033010,1/20/14,Single Family,91343.0
137,2316011006,9/25/14,Single Family,91605.0
138,5522017060,7/24/14,Single Family,90004.0
139,5042033015,5/2/14,Multi-Family,90018.0
140,2731017002,11/26/14,Single Family,91326.0
141,6018031002,2/13/14,Single Family,90047.0
142,2644027104,12/10/14,Single Family,91402.0
143,2277002003,8/26/14,Single Family,91403.0
144,2380014030,1/31/14,Single Family,91604.0
145,5183017021,6/23/14,Multi-Family,90033.0
146,2668006103,10/20/14,Single Family,91344.0
147,2697019019,6/9/14,Single Family,91344.0
148,6087001024,9/4/14,Single Family,90061.0
149,2024019010,4/18/14,Single Family,91307.0
150,7442017033,2/3/14,Single Family,90731.0
151,5118013022,4/10/14,Multi-Family,90011.0
152,5549011028,1/15/14,Single Family,90068.0
153,2502004058,9/19/14,Single Family,91342.0
154,2157009141,5/9/14,Single Family,91356.0
155,4221022054,2/26/14,Single Family,92627.0
156,4007026008,9/18/14,Single Family,90043.0
157,2723019136,12/22/14,Single Family,91311.0
158,6048019029,1/30/14,Multi-Family,90002.0
159,5211014004,2/3/14,Multi-Family,90031.0
160,2284019024,11/3/14,Single Family,91436.0
161,2042001026,1/28/14,Single Family,91367.0
162,2123022035,10/8/14,Single Family,91335.0
163,5109010017,11/25/14,Multi-Family,90011.0
164,5424018009,12/17/14,Single Family,90026.0
165,6073028004,12/9/14,Single Family,90061.0
166,2627024016,8/20/14,Single Family,91331.0
167,5567015034,2/27/14,Single Family,90046.0
168,7413012974,12/2/14,Single Family,90710.0
169,2782020005,8/20/14,Single Family,91306.0
170,5468016028,2/9/14,Single Family,90042.0
171,2621001005,9/3/14,Single Family,91331.0
172,2156021054,3/18/14,Single Family,91356.0
173,6119026053,11/10/14,Single Family,90247.0
174,6074002021,7/7/14,Single Family,90003.0
175,2660010052,8/4/14,Single Family,91345.0
176,6014029012,1/31/14,Single Family,90044.0
177,2027050005,5/6/14,Single Family,91307.0
178,6053008009,1/30/14,Single Family,90003.0
179,2731013017,2/4/14,Single Family,91326.0
180,2116014011,1/20/14,Single Family,91335.0
181,2047005009,12/22/14,Single Family,91367.0
182,2707010023,11/25/14,Single Family,91311.0
183,2692010048,5/20/14,Single Family,91325.0
184,2171020031,5/8/14,Single Family,91364.0
185,2250002120,12/24/14,Single Family,91403.0
186,2162014096,10/31/14,Single Family,99999.0
187,7444005010,6/9/14,Single Family,90731.0
188,5019005006,9/5/14,Multi-Family,90037.0
